Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Armor2.0,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Custom,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Custom (Base),Seasonal Mod,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14
Kabr's Brazen Grips,3368765451,"""6917529409497829694""",,Legendary,Gauntlets,vog,Titan,1570,,Arc Energy Capacity,10,Titan(1590),true,true,false,4,14,,4,10,33,12,23,4,86,0,2,8,21,10,21,2,64,0,"combatstyle,vaultofglass",,Recovery Mod*,Unstoppable Scout Rifle*,Powerful Friends*,Amrita's Dream*,Change Energy Type*,*,*,*,*,Gauntlets of the Emperor's Champion*,,,,,
Deep Explorer Gauntlets,2616310259,"""6917529764534501401""",,Legendary,Gauntlets,duality,Titan,1570,,Stasis Cost,10,Titan(1590),true,true,false,5,17,,11,20,8,12,12,14,77,0,9,18,6,10,10,12,65,0,combatstyle,,Melee Kickstart*,Melee Kickstart*,Elemental Shards*,Queen's Colors*,Change Energy Type*,*,*,*,*,Iron Remembrance Gauntlets*,,,,,
Candescent Plate,58945355,"""6917529800199828167""",,Legendary,Chest Armor,events,Titan,1350,,Solar Energy Capacity,10,Titan(1590),true,true,false,5,17,Solstice,4,22,14,18,14,8,80,0,2,20,12,16,12,6,68,0,combatstyle,,Upgrade Armor*,*,*,*,*,Spark of Resilience*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,,,,,
Candescent Plate,58945355,"""6917529801068328754""",,Legendary,Chest Armor,events,Titan,1560,,Void Energy Capacity,10,Titan(1590),true,true,false,5,17,Solstice,4,14,22,4,16,18,78,0,2,12,20,2,14,16,66,0,combatstyle,,Upgrade Armor*,*,*,*,*,Spark of Recovery*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,,,,,
Anti-Extinction Plate,1557512974,"""6917529640831442833""",,Legendary,Chest Armor,do,Titan,1560,,Arc Energy Capacity,10,Titan(1590),true,true,false,3,10,,24,14,32,9,26,4,109,0,2,2,30,7,24,2,67,0,combatstyle,,Resilience Mod*,Armor of the Dying Star*,Arc Resistance*,Powerful Friends*,Graceful Phantom*,Upgrade Armor*,*,*,*,*,Iron Forerunner Plate*,,,,
Candescent Plate,58945355,"""6917529800199825203""",,Legendary,Chest Armor,events,Titan,1350,,Solar Energy Capacity,10,Titan(1590),true,true,false,5,17,Solstice,4,14,22,26,4,8,78,0,2,12,20,24,2,6,66,0,combatstyle,,Vanguard Marshal*,Upgrade Armor*,*,*,*,*,Plate of Nohr*,Spark of Recovery*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,,,
Candescent Plate,58945355,"""6917529799542130307""",,Legendary,Chest Armor,events,Titan,1570,,Void Energy Capacity,10,Titan(1590),true,true,false,5,17,Solstice,4,32,14,14,4,17,85,0,2,20,12,12,2,15,63,0,combatstyle,,Resilience Mod*,Seven Sisters*,Upgrade Armor*,*,*,*,*,Spark of Resilience*,Small Kindling*,Large Kindling*,Fully Rekindled*,Fully Rekindled*,,,
Inaugural Revelry Plate,3796358144,"""6917529092470407963""",,Legendary,Chest Armor,events,Titan,1350,1060,Arc Damage Resistance,2,Titan(1590),false,true,false,2,6,The Revelry,10,20,10,5,5,10,60,0,10,10,10,5,5,10,50,0,,,Restorative Titan Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Unflinching Bow Aim*,Unflinching Kinetic Aim,Auto Rifle Reserves*,Hand Cannon Reserves,,,,,,,
Crushing Plate (CODA),2570653206,"""6917529276529427931""",,Legendary,Chest Armor,dungeon,Titan,1570,,Arc Energy Capacity,10,Titan(1590),true,true,false,3,11,,15,14,17,4,28,8,86,0,13,2,15,2,26,6,64,0,combatstyle,,Resilience Mod*,Armor of the Dying Star*,Armor of the Dying Star*,Elemental Charge*,Graceful Phantom*,Upgrade Armor*,*,*,*,*,,,,,
Wild Hunt Plate,3351935136,"""6917529348319401374""",,Legendary,Chest Armor,seasonpass,Titan,1560,,Solar Energy Capacity,10,Titan(1590),true,true,false,4,12,,8,10,31,9,22,8,88,0,6,8,19,7,20,6,66,0,combatstyle,,Recovery Mod*,Sniper Damage Resistance*,Fusion Rifle Reserves*,New Monarchy Succession*,Upgrade Armor*,*,*,*,*,RPC Valiant*,,,,,
Tusked Allegiance Plate,438108034,"""6917529796304341623""",,Legendary,Chest Armor,psiops,Titan,1560,,Arc Energy Capacity,10,Titan(1590),true,true,false,5,16,,4,31,4,12,23,4,78,0,2,29,2,10,21,2,66,0,combatstyle,,Upgrade Armor*,*,*,*,*,Uniformed Officer*,,,,,,,,,
Candescent Greaves,2644573111,"""6917529800224532172""",,Legendary,Leg Armor,events,Titan,1570,,Solar Energy Capacity,10,Titan(1590),true,true,false,5,17,Solstice,4,32,14,4,13,20,87,0,2,20,12,2,11,18,65,0,combatstyle,,Resilience Mod*,Rocket Launcher Scavenger*,Vanguard Marshal*,Upgrade Armor*,*,*,*,*,Pfhorian Greaves*,Spark of Resilience*,No Kindling Added*,Small Kindling*,Fully Rekindled*,Fully Rekindled*,
Deep Explorer Greaves,2649394513,"""6917529779728381850""",,Legendary,Leg Armor,duality,Titan,1560,,Solar Energy Capacity,10,Titan(1590),true,true,false,5,17,,8,28,4,11,4,22,77,0,6,26,2,9,2,20,65,0,combatstyle,,Upgrade Armor*,*,*,*,*,Artifice Armor*,,,,,,,,,
Kabr's Forceful Greaves,123979037,"""6917529386011638468""",,Legendary,Leg Armor,vog,Titan,1560,,Arc Energy Capacity,10,Titan(1590),true,true,false,4,14,,24,8,18,4,28,4,86,0,12,6,16,2,26,2,64,0,"combatstyle,vaultofglass",,Mobility Mod*,Striking Light*,Amrita's Dream*,Change Energy Type*,*,*,*,*,Greaves of the Emperor's Champion*,,,,,,
Descending Echo Greaves,4287863773,"""6917529732357536470""",,Legendary,Leg Armor,30th,Titan,1560,,Solar Energy Capacity,10,Titan(1590),true,true,false,4,15,,9,19,20,22,4,11,85,0,7,7,18,20,2,9,63,0,combatstyle,,Resilience Mod*,Arrow Scavenger*,Fusion Rifle Scavenger*,Upgrade Armor*,*,*,*,*,Artifice Armor*,,,,,,
Candescent Greaves,2644573111,"""6917529799532184483""",,Legendary,Leg Armor,events,Titan,1570,,Void Energy Capacity,10,Titan(1590),true,true,false,5,17,Solstice,4,14,32,11,17,10,88,0,2,12,20,9,15,8,66,0,combatstyle,,Recovery Mod*,Rocket Launcher Scavenger*,Better Already*,Change Energy Type*,*,*,*,*,Spark of Recovery*,Small Kindling*,Large Kindling*,Large Kindling*,Fully Rekindled*,,
Legacy's Oath Greaves,2558289743,"""6917529210607044996""",,Legendary,Leg Armor,deepstonecrypt,Titan,1560,,Void Energy Capacity,10,Titan(1590),true,true,false,4,12,,4,24,20,16,10,9,83,0,2,12,18,14,8,7,61,0,"combatstyle,deepstonecrypt",,Resilience Mod*,Fusion Rifle Scavenger*,Graceful Phantom*,Change Energy Type*,*,*,*,*,Greaves of the Emperor's Champion*,,,,,,
Deep Explorer Greaves,2649394513,"""6917529798821876385""",,Legendary,Leg Armor,duality,Titan,1570,,Void Energy Capacity,10,Titan(1590),true,true,false,5,17,,4,22,24,11,18,10,89,0,2,20,12,9,16,8,67,0,combatstyle,,Recovery Mod*,Sword Scavenger*,Better Already*,Change Energy Type*,*,*,*,*,Artifice Armor*,,,,,,
Lion Rampant,3539357318,"""6917529203519838587""",,Exotic,Leg Armor,,Titan,1560,,Arc Energy Capacity,10,Titan(1590),true,true,false,1,1,,24,16,8,15,17,4,84,0,22,4,6,13,15,2,62,0,combatstyle,,Resilience Mod*,Trace Rifle Scavenger*,Queen's Colors*,Upgrade Armor*,*,*,*,*,Jump Jets*,,,,,,
Tusked Allegiance Greaves,2270509928,"""6917529761566156107""",,Legendary,Leg Armor,psiops,Titan,1570,,Void Energy Capacity,10,Titan(1590),true,true,false,5,16,,4,24,20,17,17,4,86,0,2,12,18,15,15,2,64,0,combatstyle,,Resilience Mod*,Linear Fusion Rifle Scavenger*,Enduring Wells*,Graceful Phantom*,Upgrade Armor*,*,*,*,*,Uniformed Officer*,,,,,
Mark of Medal,617617371,"""6917529733402131611""",,Legendary,Titan Mark,events,Titan,1560,,Stasis Cost,10,Titan(1590),true,false,false,5,16,Guardian Games,2,12,2,2,2,2,22,0,0,0,0,0,0,0,0,0,combatstyle,,Resilience Mod*,Utility Kickstart*,Utility Kickstart*,Elemental Ordnance*,Amrita's Dream*,Upgrade Armor*,,,,,,,,,
Notorious Collector Mark,1978904078,"""6917529093476066729""",,Legendary,Titan Mark,gambitprime,Titan,1350,1060,Void Damage Resistance,2,Titan(1590),false,true,false,2,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Paragon Mod*,Tier 2 Armor*,Absolution*,Hand Cannon Reserves*,,,,,,,,,,,
Wise Warlock Bond,1331814296,"""6917529029377674976""",,Common,Warlock Bond,,Warlock,1350,,,,Titan(1590),false,true,false,1,1,,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,
Forged Machinist Mark,4059853946,"""6917529087488068528""",,Legendary,Titan Mark,,Titan,1350,1060,Arc Damage Resistance,1,Titan(1590),false,true,false,2,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Tier 1 Armor*,New Age Black Armory*,Invigoration*,Fusion Rifle Reserves*,,,,,,,,,,,
Solstice Mark (Majestic),3987442049,"""6917529102128302567""",,Legendary,Titan Mark,events,Titan,1350,1060,Void Energy Capacity,10,Titan(1590),true,true,false,2,7,Solstice,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,,,Healthy Finisher*,Upgrade Armor*,Arc Armor Glow*,,,,,,,,,,,,
Bulletsmith's Ire Mark,388999052,"""6917529094380619176""",,Legendary,Titan Mark,dcv,Titan,1350,1060,Void Damage Resistance,1,Titan(1590),false,true,false,2,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Tier 1 Armor*,Midnight Smith*,Better Already*,Shotgun Scavenger*,,,,,,,,,,,
Inaugural Revelry Mark,3148074173,"""6917529092608527796""",,Legendary,Titan Mark,events,Titan,1350,1060,Solar Damage Resistance,1,Titan(1590),false,true,false,2,6,The Revelry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Tier 1 Armor*,Innervation*,Machine Gun Reserves*,,,,,,,,,,,,
Tusked Allegiance Mark,3957071315,"""6917529660269331088""",,Legendary,Titan Mark,psiops,Titan,1560,,Arc Energy Capacity,10,Titan(1590),true,true,false,5,16,,2,2,12,2,2,2,22,0,0,0,0,0,0,0,0,0,combatstyle,,Recovery Mod*,Deprecated Armor Mod*,Upgrade Armor*,Uniformed Officer*,,,,,,,,,,,
Solstice Mark (Majestic),1520696335,"""6917529097954163731""",,Legendary,Titan Mark,events,Titan,1350,1060,Void Damage Resistance,5,Titan(1590),false,true,false,2,7,Solstice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Masterwork*,Innervation*,Invigoration,Insulation,Sniper Rifle Reserves,Sword Scavenger*,Empty Activity Mod Socket*,Solar Armor Glow*,,,,,,,
Deep Explorer Helmet,2610749098,"""6917529806003960418""",,Legendary,Helmet,duality,Titan,1570,,Void Energy Capacity,2,Titan(1590),true,false,false,5,17,,9,21,2,7,13,10,62,0,9,21,2,7,13,10,62,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,,,,,
Loreley Splendor Helm,3316517958,"""6917529762808347367""",,Exotic,Helmet,lostsectors,Titan,1570,,Arc Energy Capacity,10,Titan(1590),true,true,true,5,16,,10,23,14,8,28,4,87,0,8,21,2,6,26,2,65,0,combatstyle,,Recovery Mod*,Rocket Launcher Ammo Finder*,Radiant Light*,Graceful Phantom*,Upgrade Armor*,*,*,*,*,Cauterizing Flame*,,,,,
Deep Explorer Gauntlets,2616310259,"""6917529788955228200""",,Legendary,Gauntlets,duality,Titan,1570,,Arc Energy Capacity,10,Titan(1590),true,true,true,5,17,,4,18,28,10,17,9,86,0,2,16,16,8,15,7,64,0,combatstyle,,Recovery Mod*,Unstoppable Scout Rifle*,Striking Light*,Carminica*,Change Energy Type*,*,*,*,*,Pfhorian Gauntlets*,,,,,
Deep Explorer Plate,2935559305,"""6917529804562522624""",,Legendary,Chest Armor,duality,Titan,1570,,Arc Energy Capacity,10,Titan(1590),true,true,true,5,17,,11,24,14,28,8,4,89,0,9,22,2,26,6,2,67,0,combatstyle,,Recovery Mod*,Arc Resistance*,Arc Resistance*,Carminica*,Change Energy Type*,*,*,*,*,Solstice Plate (Magnificent)*,Armor of the Dying Star*,Artifice Armor*,,,
Candescent Greaves,2644573111,"""6917529804870679232""",,Legendary,Leg Armor,events,Titan,1560,,Solar Energy Capacity,10,Titan(1590),true,true,true,5,17,Solstice,4,24,22,24,10,4,88,0,2,12,20,22,8,2,66,0,combatstyle,,Resilience Mod*,Sword Scavenger*,Recuperation*,Carminica*,Upgrade Armor*,*,*,*,*,Solstice Graves (Magnificent)*,Spark of Recovery*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*
Descending Echo Mark,3500810712,"""6917529737017497151""",,Legendary,Titan Mark,30th,Titan,1570,,Stasis Cost,10,Titan(1590),true,true,true,4,15,,2,2,12,2,2,2,22,0,0,0,0,0,0,0,0,0,combatstyle,,Recovery Mod*,Utility Kickstart*,Utility Kickstart*,Carminica*,Change Energy Type*,Seventh Seraph Mark*,Revitalizing Blast*,Artifice Armor*,,,,,,,
Deep Explorer Mask,4047213660,"""6917529804426233273""",,Legendary,Helmet,duality,Hunter,1570,,Stasis Cost,10,Hunter(1562),true,true,false,5,17,,4,38,4,4,14,18,82,0,2,26,2,2,12,16,60,0,combatstyle,,Resilience Mod*,Upgrade Armor*,*,*,*,*,Artifice Armor*,,,,,,,,
Twisting Echo Mask,2744480004,"""6917529545744103044""",,Legendary,Helmet,30th,Hunter,1567,,Arc Energy Capacity,10,Hunter(1562),true,true,false,4,15,,11,8,18,4,26,8,75,0,9,6,16,2,24,6,63,0,combatstyle,,Arc Siphon*,Arc Siphon*,Bitterpearl*,Upgrade Armor*,*,*,*,*,Thy Fearful Symmetry*,Artifice Armor*,,,,,
Candescent Mask,1529773610,"""6917529801052039824""",favorite,Legendary,Helmet,events,Hunter,1570,,Solar Energy Capacity,10,Hunter(1562),true,true,false,5,17,Solstice,22,24,4,16,11,9,86,0,20,12,2,14,9,7,64,0,combatstyle,,Resilience Mod*,Upgrade Armor*,*,*,*,*,Spark of Mobility*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,,,,
Iron Truage Casque,1495869176,"""6917529386342764751""",,Legendary,Helmet,ironbanner,Hunter,1560,,Solar Energy Capacity,10,Hunter(1562),true,true,false,4,13,,9,4,24,4,25,10,76,0,7,2,22,2,23,8,64,0,combatstyle,,Fusion Rifle Ammo Finder*,Fusion Rifle Ammo Finder*,Terrachroma*,Upgrade Armor*,*,*,*,*,Prime Zealot Mask*,,,,,,
Mask of Bakris,1619425569,"""6917529806737317340""",,Exotic,Helmet,lostsectors,Hunter,1570,,Arc Energy Capacity,9,Hunter(1562),true,true,false,4,12,,19,12,2,18,2,10,63,0,19,12,2,18,2,10,63,0,combatstyle,,Upgrade Armor*,*,*,*,*,Light Shift*,,,,,,,,,
Resonant Fury Mask,1649346047,"""6917529742957499170""",,Legendary,Helmet,vow,Hunter,1560,,Arc Energy Capacity,10,Hunter(1562),true,true,false,5,16,,62,4,4,12,15,10,107,0,30,2,2,10,13,8,65,0,"combatstyle,vowofthedisciple",,Mobility Mod*,Hands-On*,Powerful Friends*,Upgrade Armor*,*,*,*,*,,,,,,,
Candescent Mask,1529773610,"""6917529804434308142""",,Legendary,Helmet,events,Hunter,1570,,Arc Energy Capacity,10,Hunter(1562),true,true,false,5,17,Solstice,14,32,4,11,9,17,87,0,12,20,2,9,7,15,65,0,combatstyle,,Resilience Mod*,Rocket Launcher Ammo Finder*,Powerful Friends*,Change Energy Type*,*,*,*,*,Spark of Resilience*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,,
Graviton Forfeit,2773056939,"""6917529797349078943""",,Exotic,Helmet,,Hunter,1570,,Arc Energy Capacity,10,Hunter(1562),true,true,false,1,2,,19,19,11,16,8,14,87,0,7,17,9,14,6,12,65,0,combatstyle,,Mobility Mod*,Rocket Launcher Ammo Finder*,Powerful Friends*,Irradiant Charoite*,Upgrade Armor*,*,*,*,*,Vanishing Shadow*,,,,,
Cowl of Righteousness,557676195,"""6917529195932360369""",,Legendary,Helmet,garden,Hunter,1560,,Void Energy Capacity,10,Hunter(1562),true,true,false,3,11,,25,4,19,18,18,4,88,0,13,2,17,16,16,2,66,0,"combatstyle,gardenofsalvation",,Mobility Mod*,Linear Fusion Rifle Ammo Finder*,Linear Fusion Rifle Ammo Finder*,Horizon Blush*,Upgrade Armor*,*,*,*,*,Pathfinder's Helmet*,,,,,
War Mantis,803939997,"""6917529764376752931""",,Rare,Gauntlets,campaign,Hunter,1560,,Arc Energy Capacity,10,Hunter(1562),true,true,false,2,4,,10,51,6,2,2,2,73,0,8,39,4,0,0,0,51,0,,,Resilience Mod*,Upgrade Armor*,*,*,*,*,,,,,,,,,
Prime Zealot Gloves,3753500813,"""6917529452381300903""",,Legendary,Gauntlets,vog,Hunter,1570,,Arc Energy Capacity,10,Hunter(1562),true,true,false,4,14,,28,10,11,9,26,4,88,0,16,8,9,7,24,2,66,0,"combatstyle,vaultofglass",,Mobility Mod*,Unstoppable Scout Rifle*,Striking Light*,Heat-Shielded*,Change Energy Type*,*,*,*,*,,,,,,
Candescent Grips,1535334771,"""6917529799931511000""",,Legendary,Gauntlets,events,Hunter,1570,,Stasis Cost,10,Hunter(1562),true,true,false,5,17,Solstice,14,22,4,28,9,12,89,0,12,20,2,16,7,10,67,0,combatstyle,,Discipline Mod*,Grenade Kickstart*,Unstoppable Scout Rifle*,Elemental Light*,Change Energy Type*,*,*,*,*,Spark of Resilience*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,
Candescent Grips,1535334771,"""6917529799947245764""",,Legendary,Gauntlets,events,Hunter,1350,,Solar Energy Capacity,10,Hunter(1562),true,true,false,5,17,Solstice,22,24,4,14,18,8,90,0,20,12,2,12,16,6,68,0,combatstyle,,Resilience Mod*,Upgrade Armor*,*,*,*,*,Spark of Mobility*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,,,,
Sealed Ahamkara Grasps,1688602431,"""6917529806693153789""",,Exotic,Gauntlets,,Hunter,1570,,Solar Energy Capacity,9,Hunter(1562),true,false,false,1,3,,8,15,9,6,20,6,64,0,8,15,9,6,20,6,64,0,combatstyle,,Upgrade Armor*,*,*,*,*,Nightmare Fuel*,,,,,,,,,
Caliban's Hand,3453042252,"""6917529805057849106""",,Exotic,Gauntlets,lostsectors,Hunter,1570,,Void Energy Capacity,4,Hunter(1562),true,true,false,5,17,,17,12,2,24,2,7,64,0,17,12,2,24,2,7,64,0,combatstyle,,Upgrade Armor*,*,*,*,*,Roast 'Em*,,,,,,,,,
Liar's Handshake,4165919945,"""6917529805024435842""",,Exotic,Gauntlets,,Hunter,1570,,Stasis Cost,10,Hunter(1562),true,true,false,2,6,,16,22,4,11,14,12,79,0,14,20,2,9,12,10,67,0,combatstyle,,Upgrade Armor*,*,*,*,*,Cross Counter*,,,,,,,,,
Renewal Grasps,2169905051,"""6917529805057851249""",,Exotic,Gauntlets,lostsectors,Hunter,1570,,Solar Energy Capacity,10,Hunter(1562),true,true,false,5,16,,14,21,4,19,15,4,77,0,12,19,2,17,13,2,65,0,combatstyle,,Upgrade Armor*,*,*,*,*,Depths of Duskfield*,,,,,,,,,
Oathkeeper,691578978,"""6917529797527042890""",,Exotic,Gauntlets,,Hunter,1570,,Arc Energy Capacity,9,Hunter(1562),true,true,false,2,4,,13,11,10,16,10,6,66,0,13,11,10,16,10,6,66,0,combatstyle,,Upgrade Armor*,*,*,*,*,Adamantine Brace*,,,,,,,,,
Candescent Vest,3876588445,"""6917529802752797753""",,Legendary,Chest Armor,events,Hunter,1570,,Arc Energy Capacity,10,Hunter(1562),true,true,false,5,17,Solstice,4,24,22,9,22,8,89,0,2,12,20,7,20,6,67,0,combatstyle,,Resilience Mod*,Concussive Dampener*,Arc Resistance*,Upgrade Armor*,*,*,*,*,Spark of Recovery*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,,
Deep Explorer Vest,145651147,"""6917529806298990202""",,Legendary,Chest Armor,duality,Hunter,1560,,Arc Energy Capacity,10,Hunter(1562),true,true,false,5,17,,9,25,4,12,9,48,107,0,7,23,2,10,7,16,65,0,combatstyle,,Strength Mod*,Arc Resistance*,Concussive Dampener*,Radiant Light*,Change Energy Type*,*,*,*,*,Armor of the Dying Star*,Artifice Armor*,,,,
Vest of the Great Hunt,2180477077,"""6917529764344338920""",,Legendary,Chest Armor,lastwish,Hunter,1570,,Arc Energy Capacity,9,Hunter(1562),true,true,false,4,12,,6,17,8,15,8,7,61,0,6,17,8,15,8,7,61,0,"combatstyle,lastwish",,Upgrade Armor*,*,*,*,*,,,,,,,,,,
Candescent Vest,3876588445,"""6917529800204775684""",,Legendary,Chest Armor,events,Hunter,1560,,Arc Energy Capacity,10,Hunter(1562),true,true,false,5,17,Solstice,42,24,4,8,4,26,108,0,20,12,2,6,2,24,66,0,combatstyle,,Resilience Mod*,Armor of the Dying Star*,Arc Resistance*,Powerful Friends*,Change Energy Type*,*,*,*,*,Spark of Mobility*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,
Candescent Vest,3876588445,"""6917529800195161652""",,Legendary,Chest Armor,events,Hunter,1350,,Arc Energy Capacity,10,Hunter(1562),true,true,false,5,17,Solstice,14,32,4,14,14,31,109,0,12,20,2,12,12,9,67,0,combatstyle,,Resilience Mod*,Armor of the Dying Star*,Arc Resistance*,Radiant Light*,Change Energy Type*,*,*,*,*,Spark of Resilience*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,
Tusked Allegiance Vest,4144240158,"""6917529795804840031""",,Legendary,Chest Armor,psiops,Hunter,1570,,Arc Energy Capacity,10,Hunter(1562),true,true,false,5,16,,24,39,4,18,8,14,107,0,2,27,2,16,6,12,65,0,combatstyle,,Resilience Mod*,Armor of the Dying Star*,Arc Resistance*,Powerful Friends*,Irradiant Charoite*,Upgrade Armor*,*,*,*,*,Uniformed Officer*,,,,
Raiden Flux,2766109872,"""6917529806737313472""",,Exotic,Chest Armor,,Hunter,1570,,Solar Energy Capacity,9,Hunter(1562),true,false,false,1,1,,10,15,10,8,21,2,66,0,10,15,10,8,21,2,66,0,combatstyle,,Upgrade Armor*,*,*,*,*,Synapse Junctions*,,,,,,,,,
Raiju's Harness,2268523867,"""6917529796910996047""",,Exotic,Chest Armor,,Hunter,1570,,Arc Energy Capacity,9,Hunter(1562),true,true,false,3,10,,2,20,8,6,19,6,61,0,2,20,8,6,19,6,61,0,combatstyle,,Upgrade Armor*,*,*,*,*,Mobius Conduit*,,,,,,,,,
The Sixth Coyote,1474735277,"""6917529804592205489""",,Exotic,Chest Armor,,Hunter,1570,,Arc Energy Capacity,9,Hunter(1562),true,true,false,2,4,,11,18,3,8,12,9,61,0,11,18,3,8,12,9,61,0,combatstyle,,Upgrade Armor*,*,*,*,*,Double Dodge*,,,,,,,,,
Deep Explorer Strides,2724719415,"""6917529806406597485""",,Legendary,Leg Armor,duality,Hunter,1560,,Solar Energy Capacity,10,Hunter(1562),true,true,false,5,17,,4,40,4,25,4,9,86,0,2,28,2,23,2,7,64,0,combatstyle,,Resilience Mod*,Upgrade Armor*,*,*,*,*,Artifice Armor*,,,,,,,,
Candescent Strides,1270288709,"""6917529799367147147""",,Legendary,Leg Armor,events,Hunter,1570,,Void Energy Capacity,10,Hunter(1562),true,true,false,5,17,Solstice,22,24,4,23,4,12,89,0,20,12,2,21,2,10,67,0,combatstyle,,Resilience Mod*,Rocket Launcher Scavenger*,Elemental Charge*,Change Energy Type*,*,*,*,*,Spark of Mobility*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,,
Candescent Strides,1270288709,"""6917529804907970337""",,Legendary,Leg Armor,events,Hunter,1570,,Solar Energy Capacity,10,Hunter(1562),true,true,false,5,17,Solstice,4,24,22,14,8,14,86,0,2,12,20,12,6,12,64,0,combatstyle,,Resilience Mod*,Sword Scavenger*,Recuperation*,Elemental Light*,Upgrade Armor*,*,*,*,*,Spark of Recovery*,No Kindling Added*,Small Kindling*,Large Kindling*,Fully Rekindled*,
Candescent Strides,1270288709,"""6917529802228770967""",,Legendary,Leg Armor,events,Hunter,1570,,Solar Energy Capacity,10,Hunter(1562),true,true,false,5,17,Solstice,4,24,22,9,12,15,86,0,2,12,20,7,10,13,64,0,combatstyle,,Resilience Mod*,Recuperation*,Upgrade Armor*,*,*,*,*,Spark of Recovery*,Small Kindling*,Large Kindling*,Fully Rekindled*,Fully Rekindled*,,,
Fr0st-EE5,609852545,"""6917529801340465554""",,Exotic,Leg Armor,,Hunter,1570,,Stasis Cost,10,Hunter(1562),true,true,false,1,3,,10,21,10,10,23,4,78,0,8,19,8,8,21,2,66,0,combatstyle,,Upgrade Armor*,*,*,*,*,Rapid Cooldown*,,,,,,,,,
Gemini Jester,1163283805,"""6917529806737314171""",,Exotic,Leg Armor,,Hunter,1570,,Solar Energy Capacity,1,Hunter(1562),true,true,false,1,2,,13,12,8,13,16,2,64,0,13,12,8,13,16,2,64,0,combatstyle,,Change Energy Type*,*,*,*,*,Misdirection*,,,,,,,,,
St0mp-EE5,193869520,"""6917529806816292413""",,Exotic,Leg Armor,,Hunter,1570,,Solar Energy Capacity,9,Hunter(1562),true,true,false,1,1,,4,18,13,2,16,13,66,0,4,18,13,2,16,13,66,0,combatstyle,,Upgrade Armor*,*,*,*,*,Hydraulic Boosters*,,,,,,,,,
Fr0st-EE5,609852545,"""6917529780507962994""",,Exotic,Leg Armor,,Hunter,1570,,Void Energy Capacity,9,Hunter(1562),true,true,false,1,3,,4,16,16,12,12,9,69,0,4,16,16,12,12,9,69,0,combatstyle,,Upgrade Armor*,*,*,*,*,Rapid Cooldown*,,,,,,,,,
Fr0st-EE5,609852545,"""6917529806493394441""",,Exotic,Leg Armor,,Hunter,1570,,Stasis Cost,9,Hunter(1562),true,true,false,1,3,,9,17,6,10,6,14,62,0,9,17,6,10,6,14,62,0,combatstyle,,Upgrade Armor*,*,*,*,*,Rapid Cooldown*,,,,,,,,,
Inaugural Revelry Cloak,2572547217,"""6917529092515796455""",,Legendary,Hunter Cloak,events,Hunter,1350,1060,Arc Damage Resistance,4,Hunter(1562),false,true,false,2,6,The Revelry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Tier 4 Armor*,Recuperation*,Fusion Rifle Reserves*,,,,,,,,,,,,
Memory of Cayde Cloak,625602056,"""6917529067393749524""",,Legendary,Hunter Cloak,campaign,Hunter,1350,1060,Arc Damage Resistance,2,Hunter(1562),false,true,false,2,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Paragon Mod*,Tier 2 Armor*,SUROS Modular*,Insulation*,Heavy Ammo Finder*,,,,,,,,,,
