Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Energy Capacity,Owner,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10
Corrupting Echo Bond,4217390949,"""6917529560849472567""",,Legendary,Warlock Bond,30th,Warlock,1810,,10,Warlock(1824),true,false,4,15,,2,10,2,2,2,2,20,0,0,0,0,0,0,0,"Secant Filaments - ,  - Chromatic Fire - , Void",#pve #void,Artifice Armor*,Minor Resilience Mod*,Reaper*,Powerful Attraction*,Time Dilation*,Resilience-Forged*,Photo Finish*,Virtuous Bond*,,,
Wing Contender,3091776080,"""6917529561650182710""",,Legendary,Gauntlets,crucible,Hunter,1600,,10,Vault,true,false,3,11,,24,9,4,29,4,4,74,22,7,2,27,2,2,62,,high mobility + high discipline,Valkyrie Zero*,Epialos Following Grasps*,,,,,,,,,
Twisting Echo Cloak,2486733914,"""6917529570313833566""",,Legendary,Hunter Cloak,30th,Hunter,1808,,10,Hunter(1824),true,false,4,15,,12,2,5,2,2,2,25,0,0,0,0,0,0,0,"Gyrfalcon's Hauberk - ,  - Omnioculus - , Void",#pve #void,Artifice Armor*,Mobility Mod*,Empowered Finish*,Reaper*,Time Dilation*,Recovery-Forged*,Skele-Ghaul*,Lightkin Cloak*,,,
Corrupting Echo Cover,1832715465,"""6917529571759468449""",,Legendary,Helmet,30th,Warlock,1805,,10,Vault,true,false,4,15,,4,8,28,13,19,4,76,2,6,26,11,17,2,64,,"#pve, high recovery + high total",Valkyrie Zero*,Atavistic Idol Hood*,,,,,,,,,
The Dragon's Shadow,2766109874,"""6917529587991253377""",,Exotic,Chest Armor,,Hunter,1600,,9,Vault,true,false,1,1,,20,4,10,9,22,2,67,20,4,10,9,22,2,67,,"#neutral, #pvp high mobility + high intellect",Wraithmetal Mail*,Metro Shift*,,,,,,,,,
Anti-Extinction Gloves,1600224949,"""6917529589967405432""",,Legendary,Gauntlets,do,Warlock,1810,,10,Vault,true,false,3,10,,4,4,32,18,4,16,78,2,2,30,16,2,14,66,,"#pve, high recovery, replace 1547 lightkin gloves",Byzantium Lotus*,Solstice Gloves (Magnificent)*,,,,,,,,,
Lightkin Strides,3827066919,"""6917529590901652248""",,Legendary,Leg Armor,servitor,Hunter,1600,,10,Vault,true,false,4,14,,4,4,28,26,4,8,74,2,2,26,24,2,6,62,,high recovery + high discipline,Amethyst Veil*,Iron Symmachy Strides*,,,,,,,,,
Pathfinder's Chestplate,2606405484,"""6917529616768793679""",,Legendary,Chest Armor,lost,Titan,1600,,10,Vault,true,false,4,15,,4,4,32,15,9,8,72,2,2,30,13,7,6,60,,"high recovery, #pvp",Atmospheric Glow*,Kabr's Wrath*,,,,,,,,,
BrayTech Researcher's Gloves,1005587287,"""6917529620194152466""",junk,Legendary,Gauntlets,,Warlock,1600,,10,Vault,false,false,3,10,,9,4,25,4,32,4,78,7,2,23,2,30,2,66,,high recovery + high intellect,Amethyst Veil*,Celestine Gloves*,,,,,,,,,
Gloves of the Hezen Lords,3253292022,"""6917529629783158403""",,Legendary,Gauntlets,vaultofglass,Warlock,1600,,10,Vault,true,false,4,14,,4,9,26,25,10,4,78,2,7,24,23,8,2,66,,"#raid, high recovery + high discipline",Basalt Toxic*,Corrupting Echo Gloves*,,,,,,,,,
Facade of the Hezen Lords,673599343,"""6917529629835813216""",,Legendary,Helmet,vaultofglass,Warlock,1600,,10,Vault,true,false,4,14,,4,9,24,21,13,4,75,2,7,22,19,11,2,63,,"#raid, high recovery + high discipline",,,,,,,,,,,
Transversive Steps,138282166,"""6917529629868307468""",,Exotic,Leg Armor,,Warlock,1600,,10,Vault,true,false,1,1,,9,4,27,8,25,4,77,7,2,25,6,23,2,65, - PvP Transversives,"#neutral, #pvp, high recovery + high intellect",Strange Protractor*,Smudgepot Bruise*,Path to Convergence*,,,,,,,,
Iron Forerunner Mark,3591512190,"""6917529670872610746""",,Legendary,Titan Mark,ironbanner,Titan,1600,,10,Titan(1823),true,false,4,15,,2,2,7,2,2,2,17,0,0,0,0,0,0,0,,#pvp,Iron Lord's Pride*,Minor Recovery Mod*,Outreach*,Distribution*,Reaper*,Crucible Redjack*,Dreambane Mark*,,,,
Resonant Fury Greaves,365727964,"""6917529674978966501""",archive,Legendary,Leg Armor,votd,Titan,1600,,10,Vault,true,false,5,16,,4,11,23,16,12,8,74,2,9,21,14,10,6,62,,"#raid, high recovery",Valkyrie Zero*,Kairos Function Greaves*,,,,,,,,,
Loreley Splendor Helm,3316517958,"""6917529684805969011""",,Exotic,Helmet,lostsectors,Titan,1806,,10,Titan(1823),true,false,5,16,,4,15,16,32,8,8,83,2,13,14,20,6,6,61,"Loreley Splendor - , Solar","#solar, #pvp, #endgame/#casual #pve. restoration on demand is insane",Cauterizing Flame*,Discipline Mod*,Hands-On*,Harmonic Siphon*,Special Ammo Finder*,Erebos Glance*,,,,,
Resonant Fury Gloves,1656263403,"""6917529687656502257""",archive,Legendary,Gauntlets,votd,Warlock,1800,,10,Vault,true,false,5,16,,8,9,22,4,26,9,78,6,7,20,2,24,7,66,,"#raid, high recovery + high intellect",Echoed Anger*,,,,,,,,,,
Resonant Fury Mark,2370089583,"""6917529690086420049""",,Legendary,Titan Mark,votd,Titan,1600,,10,Titan(1823),true,false,5,16,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,,#raid,Carminica*,,,,,,,,,,
Resonant Fury Robes,3300312357,"""6917529698316018340""",,Legendary,Chest Armor,votd,Warlock,1600,,10,Vault,true,false,5,16,,4,14,20,23,11,4,76,2,12,18,21,9,2,64,,"#raid, high recovery + high discipline",Carminica*,Pyrrhic Ascent Vestment*,,,,,,,,,
Iron Forerunner Gauntlets,3570243433,"""6917529712599557911""",,Legendary,Gauntlets,ironbanner,Titan,1810,,10,Vault,true,false,4,15,,4,12,23,17,11,9,76,2,10,21,15,9,7,64,,high recovery,Iron Lord's Pride*,,,,,,,,,,
Resonant Fury Gauntlets,2150515362,"""6917529715211531982""",archive,Legendary,Gauntlets,votd,Titan,1600,,9,Vault,true,false,5,16,,6,8,18,21,2,10,65,6,8,18,21,2,10,65,,high recovery + high discipline,,,,,,,,,,,
Resonant Fury Plate,1627640710,"""6917529724905245048""",archive,Legendary,Chest Armor,votd,Titan,1600,,10,Vault,true,false,5,16,,4,8,26,19,4,15,76,2,6,24,17,2,13,64,,"#raid, high recovery",Crimson Valor*,,,,,,,,,,
Resonant Fury Bond,2422261368,"""6917529726431478690""",,Legendary,Warlock Bond,votd,Warlock,1600,,10,Vault,true,false,5,16,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,,#raid #pve,Royal Dye*,Valkyrian Bond*,,,,,,,,,
Resonant Fury Cowl,2316722050,"""6917529735159370398""",archive,Legendary,Helmet,votd,Warlock,1600,,9,Vault,true,false,5,16,,2,7,22,12,17,2,62,2,7,22,12,17,2,62,,"#raid, high total",,,,,,,,,,,
Kairos Function Grips,1193359281,"""6917529746094485180""",,Legendary,Gauntlets,,Hunter,1600,,10,Vault,true,false,4,15,,17,4,17,27,4,8,77,15,2,15,25,2,6,65, - Frostees - ,high total + high discipline,,,,,,,,,,,
Young Ahamkara's Spine,475652357,"""6917529746094485495""",,Exotic,Gauntlets,,Hunter,1809,,10,Vault,true,false,1,1,,17,5,18,22,4,11,77,15,3,16,20,2,9,65,Ahamkara's Spine - ,"#solar, #pve, high recovery + high discipline",Wish-Dragon Teeth*,Heavy Handed*,Momentum Transfer*,Firepower*,Erebos Glance*,Seiðr*,,,,,
Tusked Allegiance Hood,849255710,"""6917529760210090883""",,Legendary,Helmet,psiops,Warlock,1600,,10,Vault,true,false,5,16,,8,26,4,28,4,4,74,6,24,2,26,2,2,62,,high resilience + high discipline,,,,,,,,,,,
Eidolon Pursuant Pants,256122438,"""6917529780952683580""",,Legendary,Leg Armor,haunted,Warlock,1810,,10,Warlock(1824),true,false,5,17,,4,25,15,18,15,4,81,2,23,8,16,13,2,64,"Vesper of Radius - ,  - Fallen Sunstar - , Arc","#pve, high resilience + high total",Visage of the Reaper*,Minor Recovery Mod*,Recuperation*,Absolution*,Elemental Charge*,Irradiant Charoite*,Boots of the Emperor's Minister*,,,,
Eidolon Pursuant Veil,217647949,"""6917529780968019623""",archive,Legendary,Helmet,haunted,Warlock,1810,,10,Vault,true,false,5,17,,4,26,8,9,25,9,81,2,24,6,7,23,2,64,,"#pve, high resilience + high intellect, should probably be replaced by id:""6917529857149013186""",Visage of the Reaper*,Minor Strength Mod*,Arc Siphon*,Font of Wisdom*,Special Ammo Finder*,Photo Finish*,Starfarer's Hood*,,,,
Eidolon Pursuant Pants,256122438,"""6917529780989550965""",,Legendary,Leg Armor,haunted,Warlock,1810,,10,Vault,true,false,5,17,,4,25,9,22,4,11,75,2,23,7,20,2,9,63,,"#pve, high resilience + high discipline",Visage of the Reaper*,Arc Scavenger*,Arc Scavenger*,Arc Scavenger*,Sinking Feeling*,Starfarer's Boots*,,,,,
Eidolon Pursuant Handguards,2489136103,"""6917529781850849228""",,Legendary,Gauntlets,haunted,Hunter,1600,,10,Vault,true,false,5,17,,4,8,26,26,4,9,77,2,6,24,24,2,7,65,,high recovery + high discipline,Visage of the Reaper*,,,,,,,,,,
Eidolon Pursuant Mask,1285042454,"""6917529781856704343""",junk,Legendary,Helmet,haunted,Hunter,1600,,10,Vault,false,false,5,17,,4,12,22,23,4,12,77,2,10,20,21,2,10,65,,"#pve, high recovery + high discipline",Visage of the Reaper*,Arc Siphon*,Kinetic Siphon*,Sinking Feeling*,,,,,,,
Osmiomancy Gloves,3259193988,"""6917529783471416899""",,Exotic,Gauntlets,lostsectors,Warlock,1810,,10,Warlock(1824),true,false,5,16,,4,23,12,10,23,14,86,2,21,10,8,21,2,64,"Osmiomancy - , Stasis","#stasis, #endgame #pve, high recovery + high intellect",Fervid Coldsnap*,Strength Mod*,Heavy Handed*,Bolstering Detonation*,Momentum Transfer*,Queen's Colors*,Endothermia*,,,,
Eidolon Pursuant Pants,256122438,"""6917529791126586221""",,Legendary,Leg Armor,haunted,Warlock,1810,,10,Vault,true,false,5,17,,8,4,28,28,4,11,83,6,2,26,21,2,9,66,,"#pvp, high recovery + high discipline",Visage of the Reaper*,Minor Discipline Mod*,Orbs of Restoration*,Absolution*,Kinetic Weapon Surge*,Imperial Opulence*,Iron Forerunner Boots*,,,,
Secant Filaments,511888814,"""6917529793208887676""",,Exotic,Leg Armor,lostsectors,Warlock,1810,,10,Warlock(1824),false,false,5,16,,8,24,8,34,8,8,90,6,22,6,22,6,6,68,"Secant Filaments - , Void","#void #pve, seems viable for #endgame solo content with #overload",Devouring Rift*,Discipline Mod*,Recuperation*,Absolution*,Void Weapon Surge*,Luminous Void*,Rayonnant Tracery*,,,,
Deep Explorer Bond,2694773307,"""6917529793208892078""",,Legendary,Warlock Bond,duality,Warlock,1810,,10,Warlock(1824),true,false,5,17,,2,5,2,7,2,2,20,0,0,0,0,0,0,0,"Phoenix Protocol - ,  - Eye of Another World - ,  - Felwinter's Helm - , Necrotic Grips - , Strand, Gambit",#pve #strand,Artifice Armor*,Minor Discipline Mod*,Powerful Attraction*,Reaper*,Time Dilation*,Resilience-Forged*,Erebos Glance*,Phantasmagoric Bond*,,,
Aeon Soul,2950045886,"""6917529795503053942""",,Exotic,Gauntlets,,Warlock,1810,,10,Warlock(1824),true,false,1,2,,4,17,25,20,4,14,84,2,15,18,18,2,12,67, - Aeons - ,"#neutral, #endgame #pve",Sect of Insight*,Minor Recovery Mod*,Focusing Strike*,Heavy Handed*,Impact Induction*,Oiled Gunmetal*,,,,,
Tusked Allegiance Helmet,2240729575,"""6917529795817649657""",junk,Legendary,Helmet,psiops,Titan,1600,,10,Vault,false,false,5,16,,4,26,9,18,11,9,77,2,24,7,16,9,7,65,,high resilience,,,,,,,,,,,
Tusked Allegiance Greaves,2270509928,"""6917529795817650676""",,Legendary,Leg Armor,psiops,Titan,1600,,10,Vault,true,false,5,16,,4,14,20,17,17,4,76,2,12,18,15,15,2,64,,"#pve, high total",Atmospheric Glow*,Thunderous Impact Greaves*,,,,,,,,,
Rain of Fire,1624882687,"""6917529795817651225""",,Exotic,Leg Armor,lostsectors,Warlock,1810,,10,Warlock(1824),true,false,5,17,,8,21,10,18,14,16,87,6,19,8,6,12,14,65,"Rain of Fire - , Weavewalker - , Delta","#casual #pve, #solar or #strand with weavewalker. Could be useful for stunning #barrier champions in #endgame",Soaring Fusilier*,Discipline Mod*,Recuperation*,Solar Weapon Surge*,Solar Weapon Surge*,Skele-Ghaul*,,,,,
Deep Explorer Gauntlets,2616310259,"""6917529796101935371""",junk,Legendary,Gauntlets,duality,Titan,1600,,10,Vault,false,false,5,17,,4,18,15,16,4,17,74,2,16,13,14,2,15,62,,"#pve, high total",,,,,,,,,,,
Aeon Safe,1654461647,"""6917529797307453385""",,Exotic,Gauntlets,,Titan,1600,,10,Vault,true,false,1,2,,5,22,13,10,22,4,76,3,20,11,8,20,2,64,,"#neutral, #endgame #pve, high resilience + high intellect",Sect of Insight*,Valkyrie Zero*,,,,,,,,,
Phoenix Cradle,1537074069,"""6917529797914283970""",,Exotic,Leg Armor,campaign,Titan,1810,,9,Titan(1823),true,false,3,8,,2,12,18,2,16,15,65,2,12,18,2,16,15,65,,"#solar, #casual #pve",Beacons of Empowerment*,Valkyrie Zero*,execute(Revival)*,,,,,,,,
Crown of Tempests,3381022969,"""6917529798096065516""",,Exotic,Helmet,,Warlock,1810,,10,Vault,true,false,1,1,,5,32,5,18,4,18,82,3,30,3,16,2,16,70,,"#arc, #casual #pve, high resilience",Conduction Tines*,Crucible Redjack*,Diadem of Deceit*,,,,,,,,
Tusked Allegiance Greaves,2270509928,"""6917529798195741328""",,Legendary,Leg Armor,psiops,Titan,1810,,10,Titan(1823),true,false,5,16,,4,35,10,22,12,4,87,2,23,8,20,10,2,65,Wormgod Caress - ,"#pve, high resilience + high discipline",Resilience Mod*,Innervation*,Recuperation*,Absolution*,Organic Adornment*,Pfhorian Greaves*,,,,,
Ursa Furiosa,1848640623,"""6917529798207742184""",,Exotic,Gauntlets,,Titan,1600,,10,Vault,true,false,2,4,,8,26,4,14,21,4,77,6,24,2,12,19,2,65,,"#void, #endgame #pve",Ursine Guard*,Valkyrie Zero*,Ursus Maritimus*,,,,,,,,
Eidolon Pursuant Gauntlets,2388383505,"""6917529798513193485""",,Legendary,Gauntlets,haunted,Titan,1805,,10,Titan(1823),true,false,5,17,,4,32,4,23,9,12,84,2,30,2,16,7,10,67,"Precious Scars - , Severance Enclosure - , Falling Star - , Abeyant Leap - , Loreley Splendor - , HoIL Arc - , Solar, Void, Arc, Raid","#pve, high resilience",Visage of the Reaper*,Minor Discipline Mod*,Heavy Handed*,Firepower*,Font of Vigor*,Refurbished Black Armory*,Epialos Following Gauntlets*,,,,
Eidolon Pursuant Helm,527342912,"""6917529798520561021""",archive,Legendary,Helmet,haunted,Titan,1600,,9,Vault,true,false,5,17,,2,26,2,2,26,2,60,2,26,2,2,26,2,60,,high resilience + high intellect,Visage of the Reaper*,,,,,,,,,,
Candescent Robes,2566083804,"""6917529799183113763""",,Legendary,Chest Armor,events,Warlock,1810,,10,Vault,true,false,5,17,Solstice,4,22,19,14,14,11,84,2,20,12,12,12,9,67," - Aeons - ,  - Fallen Sunstar - ","#pve, high total",Minor Recovery Mod*,Arc Resistance*,Arc Resistance*,Concussive Dampener*,Sinking Feeling*,Atavistic Idol Vestments*,,,,,
Candescent Boots,2022821262,"""6917529799190926158""",,Legendary,Leg Armor,events,Warlock,1810,,10,Warlock(1824),true,false,5,17,Solstice,4,22,14,22,4,21,87,2,20,12,20,2,9,65,"Osmiomancy - , Stag PvE - ,  - Eye of Another World - ,  - Aeons - , Stasis, Dungeon","#pve, high total",Strength Mod*,Recuperation*,Elemental Charge*,Stasis Weapon Surge*,Sinking Feeling*,Virtuous Boots*,,,,,
Candescent Gauntlets,1068450901,"""6917529799382160907""",,Legendary,Gauntlets,events,Titan,1600,,10,Vault,true,false,5,17,Solstice,4,14,22,14,8,14,76,2,12,20,12,6,12,64,,high total,Bitterpearl*,Solstice Gauntlets (Resplendent)*,,,,,,,,,
Candescent Helm,3967067356,"""6917529800044513887""",junk,Legendary,Helmet,events,Titan,1810,,10,Vault,false,false,5,17,Solstice,4,27,14,14,20,4,83,2,20,12,12,18,2,66,ACDC Fence - ,"high total, #replace with npa helm",Minor Resilience Mod*,Kinetic Siphon*,Hands-On*,Heavy Ammo Finder*,Erebos Glance*,Virtuous Helm*,,,,,
Wild Hunt Helm,3887272785,"""6917529800391443629""",,Legendary,Helmet,seasonpass,Titan,1806,,10,Titan(1823),true,false,4,12,,4,24,12,33,4,12,89,2,22,10,21,2,10,67,"Wormgod Caress - , Hoarfrost - , Stasis","#pve, high total",Discipline Mod*,Harmonic Siphon*,Heavy Ammo Finder*,Special Ammo Finder*,Valkyrie Zero*,Omega Mechanos Helm*,,,,,
Candescent Greaves,2644573111,"""6917529801054413485""",,Legendary,Leg Armor,events,Titan,1807,,10,Titan(1823),false,false,5,17,Solstice,4,22,14,16,4,23,83,2,20,12,14,2,16,66,"Synthoceps - , ACDC Fence - ","#pve, high total",Minor Strength Mod*,Recuperation*,Arc Scavenger*,Arc Scavenger*,Erebos Glance*,Virtuous Greaves*,,,,,
Armamentarium,3874247549,"""6917529803491184724""",,Exotic,Chest Armor,,Titan,1810,,10,Titan(1823),true,false,1,3,,15,6,21,31,4,4,81,13,4,19,29,2,2,69,,"#strand/#arc #pve, high discipline",And Another Thing*,Atmospheric Glow*,Shock Grenadier*,,,,,,,,
Eidolon Pursuant Gauntlets,2388383505,"""6917529804395092491""",,Legendary,Gauntlets,haunted,Titan,1600,,10,Vault,true,false,5,17,,4,25,8,24,4,11,76,2,23,6,22,2,9,64,,high resilience + high discipline,Visage of the Reaper*,Metro Shift*,,,,,,,,,
Eidolon Pursuant Helm,527342912,"""6917529804395095162""",,Legendary,Helmet,haunted,Titan,1600,,10,Vault,true,false,5,17,,12,23,4,31,4,4,78,10,21,2,29,2,2,66,,high resilience + high discipline,Visage of the Reaper*,,,,,,,,,,
Eidolon Pursuant Greaves,1795075811,"""6917529804395101100""",junk,Legendary,Leg Armor,haunted,Titan,1600,,10,Vault,false,false,5,17,,4,25,8,28,4,4,73,2,23,6,26,2,2,61,,high resilience + high discipline,Visage of the Reaper*,Valkyrie Zero*,,,,,,,,,
Deep Explorer Boots,2819810688,"""6917529804409271596""",archive,Legendary,Leg Armor,duality,Warlock,1600,,5,Vault,true,false,5,17,,2,12,20,2,26,2,64,2,12,20,2,26,2,64,,high recovery + high intellect,Artifice Armor*,Empty Mod Socket*,,,,,,,,,
Deep Explorer Plate,2935559305,"""6917529804421399855""",,Legendary,Chest Armor,duality,Titan,1810,,10,Titan(1823),true,false,5,17,,4,32,4,26,8,12,86,2,30,2,24,6,2,66,"Precious Scars - , Synthoceps - , No Backup Plans - , Abeyant Leap - , Loreley Splendor - , Solar, Dungeon","#pve, high resilience + high discipline",Artifice Armor*,Minor Strength Mod*,Melee Damage Resistance*,Concussive Dampener*,Melee Damage Resistance*,Strength-Forged*,Metro Shift*,Plate of the Taken King*,,,
Deep Explorer Mark,420895300,"""6917529804437670241""",,Legendary,Titan Mark,duality,Titan,1810,,10,Titan(1823),true,true,5,17,,2,5,2,2,2,12,25,0,0,0,0,0,0,0,"Wormgod Caress - , Synthoceps - , Hoarfrost - , Severance Enclosure - , No Backup Plans - , Falling Star - , ACDC Fence - , Void, Stasis, Raid, Strand, Dungeon, Nightfall",#pve,Artifice Armor*,Strength Mod*,Reaper*,Distribution*,Explosive Finisher*,Resilience-Forged*,Carminica*,"NPA ""Weir-Walker"" Mark*",,,
Deep Explorer Vestments,2057955626,"""6917529804444663084""",,Legendary,Chest Armor,duality,Warlock,1810,,10,Warlock(1824),true,false,5,17,,4,37,7,4,25,8,85,2,30,2,2,23,6,65," - Eye of Another World - ,  - Felwinter's Helm - , Weavewalker - , Necrotic Grips - , Verity's Brow - , Sunbracers - , Strand, Gambit","#pve, high resilience + high intellect",Artifice Armor*,Minor Resilience Mod*,Solar Resistance*,Void Resistance*,Concussive Dampener*,Recovery-Forged*,Carminica*,Atavistic Idol Vestments*,,,
Deep Explorer Bond,2694773307,"""6917529804444664764""",,Legendary,Warlock Bond,duality,Warlock,1810,,10,Warlock(1824),true,true,5,17,,2,10,2,2,2,2,20,0,0,0,0,0,0,0,"Xenomorph - , Rain of Fire - , Starfire Protocol - , Stag PvE - , Weavewalker - , Verity's Brow - , Sunbracers - ,  - Dawn Chorus - , Solar, Delta, Nightfall, Raid",#pve #solar,Artifice Armor*,Minor Resilience Mod*,Reaper*,Powerful Attraction*,Time Dilation*,Resilience-Forged*,Photo Finish*,Streetscholar Bond*,,,
Heart of Inmost Light,1341951177,"""6917529804728478493""",,Exotic,Chest Armor,,Titan,1804,,10,Titan(1823),true,false,2,4,,6,16,24,19,9,9,83,4,14,17,17,7,7,66,"HoIL Arc - , Arc","#endgame #casual #pve, this #neutral exotic is incredible for getting abilities back.",Overflowing Light*,Minor Recovery Mod*,Solar Resistance*,Solar Resistance*,Concussive Dampener*,Spectral Indigo*,"Abyss, Inverted*",,,,
Hoarfrost-Z,1322544481,"""6917529804794834135""",,Exotic,Chest Armor,lostsectors,Titan,1810,,10,Titan(1823),true,false,5,16,,4,22,14,9,17,18,84,2,20,12,2,15,16,67,"Hoarfrost - , Stasis","#pvp, #casual #pve",Glacial Fortification*,Minor Discipline Mod*,Stasis Resistance*,Charged Up*,Concussive Dampener*,Atmospheric Glow*,,,,,
ACD/0 Feedback Fence,2563444729,"""6917529804898078594""",,Exotic,Gauntlets,,Titan,1810,,10,Titan(1823),true,false,1,1,,11,20,8,18,10,14,81,9,18,6,16,8,7,64,ACDC Fence - ,#pvp,Fury Conductors*,Minor Strength Mod*,Heavy Handed*,Melee Kickstart*,Melee Kickstart*,Erebos Glance*,,,,,
Precious Scars,3974038291,"""6917529804911882737""",,Exotic,Helmet,lostsectors,Titan,1810,,10,Titan(1823),true,false,4,12,,4,18,15,18,10,8,73,2,16,13,16,8,6,61,Precious Scars - ,"This could be amazing in #pvp with revives, but I think the cooldown makes this less viable in #pve",Kintsugi*,New Age Black Armory*,,,,,,,,,
Candescent Gauntlets,1068450901,"""6917529805016779547""",archive,Legendary,Gauntlets,events,Titan,1600,,10,Vault,true,false,5,17,Solstice,4,22,14,4,30,4,78,2,20,12,2,28,2,66,,high resilience + high intellect,Valkyrie Zero*,Epialos Following Gauntlets*,,,,,,,,,
Deep Explorer Mask,4047213660,"""6917529806491248219""",,Legendary,Helmet,duality,Hunter,1810,,10,Hunter(1824),true,false,5,17,,14,32,4,21,18,4,93,2,30,2,16,16,2,68,"Shards of Galanor - , Hive, bring a ... boomer?  - , Star Eater Scales - , Gyrfalcon's Hauberk - , Lucky Pants - ,  - Frostees - , Sixth Coyote - , Renewal Grasps - , Aeons - , Ahamkara's Spine - , Raid, Void, Stasis, Solar","#pve, high resilience",Artifice Armor*,Mobility Mod*,Heavy Ammo Finder*,Harmonic Siphon*,Stasis Siphon*,Discipline-Forged*,Erebos Glance*,Dendrite Shimmer Mask*,,,
Deep Explorer Strides,2724719415,"""6917529806508851496""",,Legendary,Leg Armor,duality,Hunter,1806,,10,Vault,true,false,5,17,,7,22,17,15,4,18,83,2,20,10,13,2,16,63,,"#pve, high total",Artifice Armor*,Minor Recovery Mod*,Recuperation*,Innervation*,Stacks on Stacks*,Mobility-Forged*,Bloody Tooth*,Virtuous Strides*,,,
Deep Explorer Mask,4047213660,"""6917529806518483896""",archive,Legendary,Helmet,duality,Hunter,1803,,10,Vault,true,false,5,17,,8,28,4,4,9,25,78,6,26,2,2,7,23,66,,"#pve, high resilience + high strength",Artifice Armor*,Horizon Blush*,Epialos Following Mask*,,,,,,,,
Deep Explorer Strides,2724719415,"""6917529806518486408""",,Legendary,Leg Armor,duality,Hunter,1807,,10,Hunter(1824),true,true,5,17,,17,25,4,26,4,8,84,7,23,2,24,2,6,64,"Graviton Forfeit - , Shards of Galanor - , Celestial Nighthawk - , Hive, bring a ... boomer?  - , Assassin's Cowl - , Renewal Grasps - ,  - Omnioculus - , Nightfall, Dungeon, Stasis, Solar, Solar","#pve, high resilience + high discipline",Artifice Armor*,Minor Mobility Mod*,Absolution*,Void Weapon Surge*,Void Weapon Surge*,Mobility-Forged*,Luminous Void*,Aphotic Lamellar Strides*,,,
Deep Explorer Grasps,1148597205,"""6917529806525312599""",,Legendary,Gauntlets,duality,Hunter,1810,,10,Hunter(1824),true,true,5,17,,17,28,8,8,4,26,91,2,26,6,6,2,24,66,"Graviton Forfeit - , Nightfall",high resilience + high strength,Artifice Armor*,Mobility Mod*,Focusing Strike*,Focusing Strike*,Bolstering Detonation*,Mobility-Forged*,Luminous Void*,Anthemic Invocation Vambraces*,,,
Deep Explorer Cloak,2797334754,"""6917529806529947766""",,Legendary,Hunter Cloak,duality,Hunter,1802,,10,Hunter(1824),true,false,5,17,,12,2,5,2,2,2,25,0,0,0,0,0,0,0,"Hive, bring a ... boomer?  - , Renewal Grasps - , Stasis",#pve #stasis #arc,Artifice Armor*,Mobility Mod*,Special Finisher*,Powerful Attraction*,Reaper*,Recovery-Forged*,Sinking Feeling*,Pyrrhic Ascent Cloak*,,,
Deep Explorer Grasps,1148597205,"""6917529807120323629""",,Legendary,Gauntlets,duality,Hunter,1810,,10,Hunter(1824),true,false,5,17,,14,25,10,25,7,10,91,2,23,8,23,2,8,66,"Foetracer, Void","#pve, high resilience + high discipline",Artifice Armor*,Mobility Mod*,Focusing Strike*,Firepower*,Bolstering Detonation*,Intellect-Forged*,Erebos Glance*,Grips of Exaltation*,,,
Deep Explorer Strides,2724719415,"""6917529807120326185""",,Legendary,Leg Armor,duality,Hunter,1810,,10,Hunter(1824),true,false,5,17,,14,26,11,18,11,9,89,2,21,9,16,9,7,64,"Wormhusk - , Foetracer, Ahamkara's Spine - , Void, Strand","#pve, high resilience",Artifice Armor*,Mobility Mod*,Recuperation*,Absolution*,Strand Weapon Surge*,Resilience-Forged*,Colubrid Forester*,Hexwrought Strides*,,,
Deep Explorer Cloak,2797334754,"""6917529807134697573""",,Legendary,Hunter Cloak,duality,Hunter,1810,,10,Hunter(1824),true,true,5,17,,7,2,5,2,2,2,20,0,0,0,0,0,0,0,"Graviton Forfeit - , Shards of Galanor - , Celestial Nighthawk - , Star Eater Scales - , Foetracer, Assassin's Cowl - , Ahamkara's Spine - , Nightfall, Dungeon, Raid, Solar, Solar",#pve #solar,Artifice Armor*,Minor Mobility Mod*,Distribution*,Powerful Attraction*,Reaper*,Recovery-Forged*,Luminous Void*,Photonic Cloak*,,,
Lost Pacific Strides,2672840191,"""6917529807391283017""",archive,Legendary,Leg Armor,,Hunter,1600,,9,Vault,true,false,4,15,,2,2,30,9,18,2,63,2,2,30,9,18,2,63,,"#pvp, high recovery + high intellect",,,,,,,,,,,
Lost Pacific Vest,1833326563,"""6917529807398145790""",,Legendary,Chest Armor,,Hunter,1810,,10,Hunter(1824),true,false,4,15,,14,32,4,15,16,4,85,2,30,2,13,14,2,63,"Wormhusk - , Strand",high resilience,Mobility Mod*,Arc Resistance*,Arc Resistance*,Concussive Dampener*,Bloody Tooth*,Relentless Harness*,,,,,
