Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Efficiency,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15
Truthteller,1946491241,"""6917529424461244193""",,Legendary,Grenade Launcher,legendaryengram,Energy,Void,1600,,Velocity,10,Vault,true,false,3,11,,70,79,0,0,13,0,94,18,90,71,1,84,0,0,0,0,0,0,0,0,0,2,false,0,2604,,,#endgame #pve,Lightweight Frame*,Countermass,Quick Launch*,Disorienting Grenades*,Implosion Rounds,Auto-Loading Holster*,Demolitionist*,Kill Tracker,Major Spec*,Masterworked: Velocity*,Byzantium Lotus*,,,,,
Praedyth's Revenge (Timelost),1987769101,"""6917529424534762157""",,Legendary,Sniper Rifle,vaultofglass,KineticSlot,Kinetic,1600,,Handling,10,Vault,true,false,4,14,,65,78,55,42,49,0,0,58,140,66,5,80,0,0,0,0,0,0,0,0,0,9,false,0,0,,,#pvp,Rapid-Fire Frame*,Extended Barrel*,Polygonal Rifling,Extended Mag,Steady Rounds*,Quickdraw*,Feeding Frenzy,Opening Shot*,Firefly,Crucible Tracker,Adept Handling*,Masterworked: Handling*,Mantle of Duty*,,,
Tigerspite,640114618,"""6917529425466240528""",,Legendary,Auto Rifle,dreaming,KineticSlot,Kinetic,1600,,Range,10,Vault,true,false,4,14,,78,44,29,82,16,0,0,41,450,40,37,30,0,0,0,0,0,0,0,0,0,10,false,0,2796,,,#endgame/#casual #pve,Precision Frame*,Extended Barrel*,Hammer-Forged Rifling,Extended Mag,Appended Mag*,Overflow*,Frenzy*,Kill Tracker,Major Spec*,Masterworked: Range*,Bloody Tooth*,,,,,
Fatebringer (Timelost),1216319404,"""6917529428557107038""",,Legendary,Hand Cannon,vaultofglass,KineticSlot,Kinetic,1600,,Reload Speed,1,Vault,false,false,4,14,,98,84,84,51,14,0,0,67,140,57,12,60,0,0,0,0,0,0,0,0,0,10,false,0,0,,,"#endgame/#casual #pve, able to use explosive and damage buff for #overload rounds",Adaptive Frame*,Corkscrew Rifling*,Fluted Barrel,Tactical Mag*,Flared Magwell,Thresh,Explosive Payload*,Frenzy*,Firefly,Kill Tracker,Adept Big Ones Spec*,Tier 1: Reload Speed*,,,,
Fatebringer (Timelost),1216319404,"""6917529429128731409""",keep,Legendary,Hand Cannon,vaultofglass,KineticSlot,Kinetic,1810,,Stability,10,Hunter(1828),true,false,4,14,,98,84,84,76,14,0,0,74,140,49,11,58,0,0,0,0,0,0,0,0,0,10,false,0,1032,, - PvP - Wormhusk - ,#pvp,Adaptive Frame*,Fluted Barrel,Smallbore*,Accurized Rounds*,Flared Magwell,Killing Wind*,Explosive Payload,Eye of the Storm*,Firefly,Crucible Tracker,Adept Range*,Masterworked: Stability*,Photo Finish*,,,
Found Verdict (Timelost),631439337,"""6917529430646313750""",favorite,Legendary,Shotgun,vaultofglass,Energy,Arc,1600,,Handling,5,Vault,true,false,4,14,,75,37,80,56,12,0,0,27,55,36,4,49,0,0,0,0,0,0,0,0,0,2,false,0,0,,,"#pvp, slide/opening shot w accurized maxes range at 7m. Handling has become increasingly important.",Aggressive Frame*,Barrel Shroud,Corkscrew Rifling*,Extended Mag,Accurized Rounds*,Slideshot*,Full Auto Trigger System,Opening Shot*,Vorpal Weapon,Kill Tracker,Adept Range*,Tier 5: Handling*,,,,
Found Verdict (Timelost),631439337,"""6917529430651393949""",keep,Legendary,Shotgun,vaultofglass,Energy,Arc,1810,,Reload Speed,10,Hunter(1828),true,false,4,14,,75,37,80,61,12,0,0,32,55,46,4,42,0,0,0,0,0,0,0,0,0,2,false,0,1237,, - PvP - Wormhusk - ,"#pvp, killing wind gives a decent range and handling boost, but requires a kill to get there.",Aggressive Frame*,Smoothbore,Smallbore*,Tactical Mag,Accurized Rounds*,Slideshot*,Full Auto Trigger System,Killing Wind*,Vorpal Weapon,Crucible Tracker,Adept Range*,Masterworked: Reload Speed*,First Frost*,,,
Ager's Scepter,1833195496,"""6917529472795839738""",,Exotic,Trace Rifle,,KineticSlot,Stasis,1810,,,10,Vault,true,false,4,15,,100,100,6,69,16,0,0,99,1000,55,97,62,0,0,0,0,0,0,0,0,0,15,false,0,664,,,"#casual #pve, could be useful against #overload but needs either a nearby kill or a super to stun them",Ager's Call*,Arrowhead Brake*,Particle Repeater*,Rega's Refrain*,Hand-Laid Stock*,Kill Tracker,Cold Cheer*,Ager's Scepter Catalyst*,,,,,,,,
Fractethyst,3184681056,"""6917529478740600866""",,Legendary,Shotgun,seasonpass,KineticSlot,Stasis,1600,,Range,10,Vault,true,false,4,15,,75,72,70,82,12,0,0,45,65,50,5,41,0,0,0,0,0,0,0,0,0,2,false,0,182,,,"#pvp, this sg has a ton of range, max at ~6.7m w slideshot. Wastelander reaches that with slideshot + opening shot",Precision Frame*,Rifled Barrel,Full Choke*,Assault Mag,Accurized Rounds*,Slideshot*,Adagio*,Crucible Tracker,Quick Access Sling*,Masterworked: Range*,Nectar Dynamo*,,,,,
Vex Mythoclast,4289226715,"""6917529486778307834""",,Exotic,Fusion Rifle,vaultofglass,Energy,Solar,1810,,,10,Warlock(1829),true,false,4,14,,100,75,33,85,15,0,0,40,360,60,33,60,533,0,0,0,0,0,0,0,0,19,false,0,1265,,"Rain of Fire - , Delta","#casual #pve, #pvp",Timeless Mythoclast*,Arrowhead Brake*,Volatile Battery*,Temporal Unlimiter*,Hand-Laid Stock*,Kill Tracker,Clast of Its Own*,Vex Mythoclast Catalyst*,,,,,,,,
Gjallarhorn,1363886209,"""6917529545591007657""",,Exotic,Rocket Launcher,30th,Power,Solar,1810,,Magazine,10,Vault,true,false,4,15,,49,76,0,0,20,100,40,54,15,67,2,76,0,0,0,0,0,0,0,0,0,6,false,0,2388,,A Current GM Weapon Set - ,"#endgame/#casual #pve, #pvp",Wolfpack Rounds*,Volatile Launch*,Alloy Casing*,Pack Hunter*,Short-Action Stock*,Kill Tracker,Hraesveglur*,Gjallarhorn Catalyst*,,,,,,,,
Crown-Splitter,2782325302,"""6917529558472467188""",,Legendary,Sword,legendaryengram,Power,Void,1800,,Impact,10,Vault,true,false,4,14,,0,0,74,0,0,0,0,0,0,0,55,0,0,0,0,10,70,0,60,0,0,0,false,0,5,,,"#endgame/#casual #pve, #dps",Aggressive Frame*,Hungry Edge,Enduring Blade*,Honed Edge,Heavy Guard*,Relentless Strikes*,Vorpal Weapon*,Kill Tracker,Boss Spec*,Masterworked: Impact*,Vintage Timber*,,,,,
Glacioclasm,1030895163,"""6917529558505612848""",,Legendary,Fusion Rifle,events,Energy,Void,1810,,Range,10,Vault,true,false,4,12,The Dawning,78,55,100,88,16,0,0,19,0,15,7,28,960,0,0,0,0,0,0,0,0,4,false,0,886,, - Eye of Another World - ,"#casual #pve, might be good in #endgame or for #dps since slideshot can reload quickly",High-Impact Frame*,Full Bore*,Polygonal Rifling,Ionized Battery,Liquid Coils*,Slideshot*,Surplus,Reservoir Burst*,Kill Tracker,Major Spec*,Masterworked: Range*,Royal Treatment*,,,,
Glacioclasm,1030895163,"""6917529571225691488""",,Legendary,Fusion Rifle,events,Energy,Void,1800,,Charge Time,10,Vault,true,false,4,12,The Dawning,78,55,85,63,16,0,0,39,0,15,7,33,920,0,0,0,0,0,0,0,0,4,false,0,253,,,"#casual #pve, #pvp",High-Impact Frame*,Chambered Compensator,Polygonal Rifling*,Accelerated Coils*,Particle Repeater,Killing Wind,Subsistence*,High-Impact Reserves,Reservoir Burst*,Kill Tracker,Major Spec*,Masterworked: Charge Time*,Polycarbon Powder*,,,
Eyasluna,235827225,"""6917529571739260183""",,Legendary,Hand Cannon,30th,KineticSlot,Stasis,1800,,Range,10,Vault,true,false,4,15,,96,85,84,69,14,0,0,77,140,45,11,52,0,0,0,0,0,0,0,0,0,10,false,0,1549,,Stasis,#casual #pve,Adaptive Frame*,TrueSight HCS*,Sureshot HCS,High-Caliber Rounds,Ricochet Rounds*,Rapid Hit*,Headstone*,Kill Tracker,Minor Spec*,Masterworked: Range*,Gilded Smoke*,,,,,
Grand Overture,1763584999,"""6917529623516898417""",,Exotic,Machine Gun,seasonpass,Power,Arc,1810,,"Handling, Stability",10,Warlock(1829),true,false,5,16,,59,60,53,100,17,0,0,100,100,60,70,56,0,0,0,0,0,0,0,0,0,11,false,0,93,,Arc,"The missiles do tons of damage, and since they also stun #unstoppable champs, this could be good in #endgame #pve",Wrath of the Colossus*,Hammer-Forged Rifling*,Accurized Rounds*,Omega Strike*,Hand-Laid Stock*,Kill Tracker,Red Allegiant*,Grand Overture Catalyst*,,,,,,,,
Cantata-57,372697604,"""6917529625158325006""",,Legendary,Hand Cannon,legendaryengram,Energy,Arc,1600,,Stability,1,Vault,true,false,5,16,,85,82,84,41,14,0,0,72,140,45,11,67,0,0,0,0,0,0,0,0,0,19,false,0,0,suros,,"#endgame #pve, #overload, basically nation of beasts. Have to test for the feel of each, but rh probably wins",Adaptive Frame*,Fluted Barrel*,Polygonal Rifling,Extended Mag,Steady Rounds*,Rapid Hit*,Timed Payload*,Suros Synergy*,Kill Tracker,Tier 1: Stability*,Nectar Dynamo*,,,,,
Parasite,2812324400,"""6917529633750192911""",,Exotic,Grenade Launcher,throneworld,Power,Solar,1803,,,,Vault,true,false,5,16,,77,68,0,0,13,100,0,53,120,44,1,47,0,0,0,0,0,0,0,0,0,11,false,0,186,,,"#endgame #pve, this thing is insane for burst damage",Worm's Hunger*,Volatile Launch*,High-Explosive Ordnance*,Worm Byproduct*,Composite Stock*,Kill Tracker,,,,,,,,,,
Osteo Striga,46524085,"""6917529662988015926""",,Exotic,Submachine Gun,throneworld,KineticSlot,Kinetic,1803,,,10,Warlock(1829),true,false,5,16,,99,55,25,87,13,0,0,79,600,63,27,26,0,0,0,0,0,0,0,0,0,27,true,85,7726,," - Eye of Another World - , Necrotic Grips - ","#casual #pve, this is nuts with the #strand nectoric build",Screaming Swarm*,Smallbore*,Flared Magwell*,Toxic Overload*,Hand-Laid Stock*,Kill Tracker,Osteo Striga Catalyst*,Blooming Gilt*,,,,,,,,
Arbalest,2130065553,"""6917529679007752240""",,Exotic,Linear Fusion Rifle,,KineticSlot,Kinetic,1810,,"Handling, Magazine",10,Warlock(1829),true,false,2,6,,87,31,41,56,25,0,0,55,0,28,6,40,533,0,0,0,0,0,0,0,0,12,false,0,2510,,A Current GM Weapon Set - ,"#endgame #pve, #barrier",Compounding Force*,Extended Barrel*,Projection Fuse*,Disruption Break*,Composite Stock*,Kill Tracker,Outrunner*,Arbalest Catalyst*,,,,,,,,
PLUG ONE.1 (Adept),534775659,"""6917529700372806484""",archive,Legendary,Fusion Rifle,nightfall,Energy,Arc,1600,,Reload Speed,2,Vault,true,false,5,16,,85,66,80,68,17,0,0,59,0,33,6,26,780,0,0,0,0,0,0,0,0,8,false,0,0,,,"#endgame #pve, adaptive on a fusion sounds interesting since it might ramp quickly, but might not be needed post LF",Precision Frame*,Arrowhead Brake,Extended Barrel*,Particle Repeater*,Projection Fuse,Compulsive Reloader,Adaptive Munitions*,Adrenaline Junkie*,Stunning Recovery,Vanguard's Vindication*,Kill Tracker,Tier 2: Reload Speed*,,,,
The Palindrome (Adept),1481892490,"""6917529702716951748""",favorite,Legendary,Hand Cannon,nightfall,Energy,Void,1810,,Range,10,Vault,true,false,5,16,,98,79,84,75,14,0,0,71,140,55,11,53,0,0,0,0,0,0,0,0,0,21,false,0,440,,,#pvp,Adaptive Frame*,Chambered Compensator,Polygonal Rifling*,Alloy Magazine,Light Mag*,Killing Wind*,Stats for All,Rangefinder*,Stunning Recovery,Vanguard's Vindication*,Crucible Tracker,Adept Range*,Masterworked: Range*,Crucible Horizon*,,
Syncopation-53,2856514843,"""6917529712635435398""",archive,Legendary,Pulse Rifle,legendaryengram,KineticSlot,Stasis,1810,,Reload Speed,10,Vault,true,false,5,16,,89,66,29,63,19,0,0,71,390,52,36,38,0,0,0,0,0,0,0,0,0,14,true,47,3411,suros,,"#endgame/#casual #pve, probably not bad for #unstoppable since you can reset the stun cooldown and detonate enemies",Adaptive Frame*,Extended Barrel*,Ricochet Rounds*,Outlaw*,Headstone*,Suros Synergy*,Kill Tracker,Nightfall Memento*,Major Spec*,Calus's Treasured*,,,,,,
Submission (Adept),1941816543,"""6917529716432575453""",,Legendary,Submachine Gun,votd,KineticSlot,Kinetic,1800,,Handling,10,Vault,true,false,5,16,,100,58,15,42,15,0,0,63,900,42,38,80,0,0,0,0,0,0,0,0,0,27,false,0,1344,,,#endgame #pve,Lightweight Frame*,Fluted Barrel,Polygonal Rifling*,Tactical Mag*,Alloy Magazine,Overflow*,Turnabout,Bait and Switch,Demolitionist*,Souldrinker*,Kill Tracker,Adept Range*,Masterworked: Handling*,Plated Lupinus*,,
The Enigma,2595497736,"""6917529745268619150""",archive,Legendary,Glaive,campaign,Energy,Void,1763,,Reload Speed,10,Vault,true,false,5,16,,0,61,80,57,0,0,0,0,55,40,5,37,0,0,0,0,0,0,0,0,62,5,true,42,3841,,,#casual #pve,Adaptive Glaive*,Auxiliary Reserves*,Appended Mag*,Subsistence*,Frenzy*,Psychohack*,Kill Tracker,Gambit Memento*,Major Spec*,Scaly Keepsake*,,,,,,
Gridskipper,1621558458,"""6917529746086147544""",archive,Legendary,Pulse Rifle,servitor,Energy,Void,1784,,Range,10,Vault,true,false,4,14,,55,80,23,53,18,0,0,62,540,35,35,32,0,0,0,0,0,0,0,0,0,10,false,0,504,,,#endgame #pve,Rapid-Fire Frame*,Corkscrew Rifling*,Extended Barrel,Extended Mag,Ricochet Rounds*,Tunnel Vision*,Frenzy*,Kill Tracker,Quick Access Sling*,Masterworked: Range*,Sinking Feeling*,,,,,
Prometheus Lens,19024058,"""6917529763151345341""",,Exotic,Trace Rifle,,Energy,Solar,1600,,"Stability, Handling",10,Vault,true,false,1,2,,100,100,6,70,16,0,0,80,1000,40,100,55,0,0,0,0,0,0,0,0,0,16,false,0,160,,,"#solar, #pve",Prismatic Inferno*,Chambered Compensator*,Projection Fuse*,Flame Refraction*,Composite Stock*,Kill Tracker,Prometheus Catalyst*,Eye of Osiris*,,,,,,,,
Stormchaser,3652506829,"""6917529765848695490""",,Legendary,Linear Fusion Rifle,duality,Power,Arc,1810,,Handling,10,Vault,true,false,5,17,,80,62,44,31,25,0,0,58,0,25,5,40,533,0,0,0,0,0,0,0,0,10,false,0,173,,,"#endgame #pve, #dps for #group content",Aggressive Frame*,Arrowhead Brake,Polygonal Rifling*,Liquid Coils*,Particle Repeater,Clown Cartridge*,Firing Line*,Bitterspite*,Kill Tracker,Boss Spec*,Masterworked: Handling*,Crucible Prestige*,,,,
Snorri FR5,4114929480,"""6917529769479150238""",,Legendary,Fusion Rifle,legendaryengram,Energy,Void,1800,,Handling,10,Vault,true,false,5,16,,94,62,80,68,17,0,0,57,0,33,7,47,780,0,0,0,0,0,0,0,0,6,false,0,212,omolon,,#pvp,Precision Frame*,Corkscrew Rifling,Smallbore*,Enhanced Battery*,Liquid Coils,Firmly Planted*,Successful Warm-Up*,Omolon Fluid Dynamics*,Crucible Tracker,Counterbalance Stock*,Masterworked: Handling*,Envious Touch*,,,,
Riptide,2715240478,"""6917529776966282428""",favorite,Legendary,Fusion Rifle,crucible,KineticSlot,Stasis,1804,,Range,10,Titan(1828),true,false,5,17,,53,31,55,31,15,0,0,36,0,45,8,65,500,0,0,0,0,0,0,0,0,3,false,0,792,,"A Current GM Weapon Set - , Nightfall, Void","#endgame/#casual #pve, #stasis, #overload #unstoppable",Rapid-Fire Frame*,Fluted Barrel*,Full Bore,Enhanced Battery*,Liquid Coils,Auto-Loading Holster*,Chill Clip*,One Quiet Moment*,Kill Tracker,Major Spec*,Masterworked: Range*,Sinking Feeling*,,,,
Staccato-46,4019668921,"""6917529792504766397""",archive,Legendary,Scout Rifle,legendaryengram,Energy,Solar,1600,,Reload Speed,10,Vault,true,false,5,17,,58,63,62,49,20,0,0,49,180,50,16,53,0,0,0,0,0,0,0,0,0,9,false,0,121,suros,,"#endgame #pve, adaptive is good for #barrier",Precision Frame*,Fluted Barrel*,Polygonal Rifling,Accurized Rounds*,Steady Rounds,Triple Tap*,Adaptive Munitions*,Suros Synergy*,Kill Tracker,Major Spec*,Masterworked: Reload Speed*,Amethyst Veil*,,,,
Eye of Sol,3164743584,"""6917529792867856539""",,Legendary,Sniper Rifle,trials,KineticSlot,Kinetic,1600,,Handling,1,Vault,true,false,5,16,,100,68,70,45,45,0,0,64,90,40,4,57,0,0,0,0,0,0,0,0,0,12,false,0,0,,,#pvp,Adaptive Frame*,Arrowhead Brake*,Smallbore,Steady Rounds*,Flared Magwell,Moving Target*,Rangefinder*,Alacrity*,One Quiet Moment,Kill Tracker,Tier 1: Handling*,,,,,
Insidious,3428521585,"""6917529795381429616""",archive,Legendary,Pulse Rifle,votd,Energy,Arc,1600,,,,Vault,true,false,5,16,,88,44,35,74,18,0,0,75,450,49,40,22,0,0,0,0,0,0,0,0,0,24,true,20,777,,,"#endgame #pve, afa is incredible. can also roll with adaptive and rapid hit as alternative for matchgame. needs reload",Aggressive Burst*,Chambered Compensator*,Flared Magwell*,Stats for All*,One for All*,Souldrinker*,Kill Tracker,Nightfall Memento*,Major Spec*,Iron Vendetta*,,,,,,
Red Herring,3175851496,"""6917529797344550822""",archive,Legendary,Rocket Launcher,campaign,Power,Void,1600,,Velocity,10,Vault,true,false,5,16,,66,62,0,0,20,52,73,54,20,44,1,57,0,0,0,0,0,0,0,0,0,3,true,26,722,,,"#endgame/#casual #pve, #dps",Adaptive Frame*,Quick Launch*,Impact Casing*,Field Prep*,Frenzy*,Psychohack*,Kill Tracker,Nightfall Memento*,Major Spec*,Mind's Eye*,,,,,,
CALUS Mini-Tool,2490988246,"""6917529802204792139""",,Legendary,Submachine Gun,dcv,Energy,Solar,1810,,Reload Speed,10,Hunter(1828),true,false,5,17,,80,49,15,39,14,0,0,63,900,56,37,67,0,0,0,0,0,0,0,0,0,28,true,37,3048,,,"#casual #pve, #solar",MIDA Synergy*,Smallbore*,Flared Magwell*,Unrelenting*,Incandescent*,To Excess*,Kill Tracker,Nightfall Memento*,Major Spec*,Calus's Treasured*,"Defenseless, to Be Armed*",,,,,
Explosive Personality,4096943616,"""6917529803491185193""",,Legendary,Grenade Launcher,psiops,Energy,Solar,1810,,Reload Speed,10,Vault,true,false,5,16,,71,67,0,0,13,100,94,25,72,88,1,85,0,0,0,0,0,0,0,0,0,1,true,32,1835,,,"#casual #pve, only #endgame in activities that have high enemy density since the healing + trait both help survivability",Wave Frame*,Quick Launch*,High-Velocity Rounds*,Auto-Loading Holster*,One for All*,Land Tank*,Kill Tracker,Nightfall Memento*,Major Spec*,Coastal Suede*,,,,,,
The Hothead (Adept),1866778462,"""6917529804745742598""",,Legendary,Rocket Launcher,nightfall,Power,Arc,1810,,Velocity,10,Vault,false,false,5,16,,75,67,0,0,20,63,57,68,20,48,1,50,0,0,0,0,0,0,0,0,0,8,false,0,130,,"Hive, bring a ... boomer?  - , A Current GM Weapon Set - ","#endgame #pve, great for #gms and champions bc of alh",Adaptive Frame*,Confined Launch*,Hard Launch,Implosion Rounds,Impact Casing*,Demolitionist,Auto-Loading Holster*,Explosive Light*,Stunning Recovery,Vanguard's Vindication*,Kill Tracker,Adept Big Ones Spec*,Masterworked: Velocity*,Pole Position*,,
The Hothead (Adept),1866778462,"""6917529805047084708""",,Legendary,Rocket Launcher,nightfall,Power,Arc,1810,,Velocity,10,Vault,true,false,5,16,,75,67,0,0,20,58,72,58,20,48,1,50,0,0,0,0,0,0,0,0,0,8,false,0,323,,Raid,"#endgame #pve #dps, it should be easy to get explosive light to max stacks with lightfall's increase to orb gen",Adaptive Frame*,Countermass,Linear Compensator*,Implosion Rounds,Impact Casing*,Field Prep*,Tracking Module,Explosive Light*,Stunning Recovery*,Vanguard's Vindication,Kill Tracker,Boss Spec*,Masterworked: Velocity*,Dreamtide Daybreak*,,
Nezarec's Whisper,254636484,"""6917529805667988602""",,Legendary,Glaive,haunted,Energy,Arc,1600,,Reload Speed,10,Vault,true,false,5,17,,0,55,80,47,0,0,0,0,55,50,5,44,0,0,0,0,0,0,0,0,54,9,true,30,2101,,A Current GM Weapon Set - ,#casual #endgame #pve,Adaptive Glaive*,Low-Impedance Windings*,Light Mag*,Demolitionist*,Adaptive Munitions*,Extrovert*,Kill Tracker,Nightfall Memento*,Major Spec*,Echoed Anger*,,,,,,
Thunderlord,3325463374,"""6917529809511125106""",,Exotic,Machine Gun,,Power,Arc,1810,,,10,Vault,true,false,2,4,Festival of the Lost,70,90,41,65,15,0,0,60,450,68,62,60,0,0,0,0,0,0,0,0,0,26,false,0,786,,Lucky Pants - ,"#casual #pve, #overload",Reign Havoc*,Polygonal Rifling*,Armor-Piercing Rounds*,Lightning Rounds*,Feeding Frenzy*,Kill Tracker,Thunderlord Catalyst*,,,,,,,,,
Yesteryear,1141927949,"""6917529810962495901""",,Legendary,Pulse Rifle,drifter,Energy,Void,1600,,Reload Speed,1,Vault,true,false,5,18,,65,59,29,50,17,0,0,55,390,43,41,42,0,0,0,0,0,0,0,0,0,17,false,0,0,suros,,"#pvp, not sure how good desperado is on a 390, but it would be worth checking out",Adaptive Frame*,Corkscrew Rifling,Smallbore*,Alloy Magazine,Appended Mag*,Steady Hands*,Desperado*,Gun and Run,Suros Synergy*,Kill Tracker,Counterbalance Stock*,Tier 1: Reload Speed*,,,,
Defiance of Yasmin,3228096719,"""6917529812164615514""",,Legendary,Sniper Rifle,kf,KineticSlot,Kinetic,1600,,Handling,1,Vault,false,false,5,18,,62,68,70,59,40,0,0,56,90,52,4,52,0,0,0,0,0,0,0,0,0,4,false,0,0,,,#pvp,Adaptive Frame*,Chambered Compensator,Corkscrew Rifling*,Tactical Mag*,Extended Mag,No Distractions*,Moving Target*,Runneth Over*,Kill Tracker,Tier 1: Handling*,,,,,,
Recurrent Impact,1572896086,"""6917529812565112227""",archive,Legendary,Machine Gun,psiops,Power,Stasis,1810,,Range,10,Vault,true,false,5,16,,83,67,25,32,17,0,0,54,900,64,78,62,0,0,0,0,0,0,0,0,0,17,true,21,786,,,#casual #pve,Rapid-Fire Frame*,Arrowhead Brake*,Steady Rounds*,Field Prep*,Frenzy*,Land Tank*,Kill Tracker,Nightfall Memento*,Major Spec*,Crucible Alizarin*,,,,,,
Touch of Malice,1802135586,"""6917529814076750108""",,Exotic,Scout Rifle,kf,KineticSlot,Kinetic,1600,,,10,Vault,true,false,5,18,,85,40,45,53,20,0,0,61,260,61,11,40,0,0,0,0,0,0,0,0,0,25,false,0,1060,,,#casual #pve,Touch of Malice*,Polygonal Rifling*,Flared Magwell*,Charged with Blight*,Hand-Laid Stock*,Kill Tracker,Touch of Malice Catalyst*,,,,,,,,,
Collective Obligation,3505113722,"""6917529816986859320""",,Exotic,Pulse Rifle,votd,Energy,Void,1810,,,,Warlock(1829),true,false,5,16,,100,67,29,49,17,0,0,70,390,56,36,51,0,0,0,0,0,0,0,0,0,26,false,0,6279,,"Secant Filaments - , Void","#void, #casual #pve",Void Leech*,Arrowhead Brake*,Flared Magwell*,Umbral Sustenance*,Hand-Laid Stock*,Kill Tracker,,,,,,,,,,
Cataclysmic,999767358,"""6917529838158500756""",favorite,Legendary,Linear Fusion Rifle,votd,Power,Solar,1809,,Reload Speed,10,Hunter(1828),true,false,5,16,,70,66,41,51,25,0,0,50,0,35,6,33,533,0,0,0,0,0,0,0,0,13,true,43,218,,"Rain of Fire - , Weavewalker - , Delta","#endgame #pve, #dps",Precision Frame*,Hammer-Forged Rifling*,Enhanced Battery*,Fourth Time's the Charm*,Bait and Switch*,Souldrinker*,Kill Tracker,Gambit Memento*,Taken Spec*,Scaly Keepsake*,,,,,,
Forbearance,613334176,"""6917529838175695152""",favorite,Legendary,Grenade Launcher,votd,Energy,Arc,1810,,Reload Speed,10,Warlock(1829),true,false,5,16,,73,79,0,0,13,100,96,29,72,96,1,87,0,0,0,0,0,0,0,0,0,4,true,124,6400,,"Vesper of Radius - ,  - Fallen Sunstar - , A Current GM Weapon Set - , Arc",#endgame/#casual #pve,Wave Frame*,Quick Launch*,High-Velocity Rounds*,Ambitious Assassin*,Chain Reaction*,Souldrinker*,Kill Tracker,Gambit Memento*,Minor Spec*,Scaly Keepsake*,,,,,,
Austringer,3055790362,"""6917529838349694255""",,Legendary,Hand Cannon,dcv,KineticSlot,Kinetic,1600,,Range,10,Vault,true,false,5,17,,95,75,84,68,14,0,0,78,140,48,11,49,0,0,0,0,0,0,0,0,0,28,true,22,83,,,"#pvp, probably switch to opening shot",Adaptive Frame*,Smallbore*,Ricochet Rounds*,Eye of the Storm*,Rangefinder*,To Excess*,Crucible Tracker,Nightfall Memento*,Icarus Grip*,Prized Ivory*,,,,,,
Tarnished Mettle,2218569744,"""6917529838366351089""",,Legendary,Scout Rifle,plunder,Energy,Arc,1772,,Stability,10,Vault,true,false,5,18,,82,73,60,32,20,0,0,48,200,70,16,78,0,0,0,0,0,0,0,0,0,18,true,30,2283,,,"#casual #pve, I think joltshot does enough to be #endgame even without an #arc subclass.",Lightweight Frame*,Arrowhead Brake*,Flared Magwell*,Rapid Hit*,Voltshot*,Right Hook*,Kill Tracker,Nightfall Memento*,Major Spec*,Triumphant Keepsake*,,,,,,
Ogma PR6,2342054803,"""6917529838399893215""",archive,Legendary,Pulse Rifle,legendaryengram,Energy,Solar,1809,,Stability,10,Vault,true,false,5,16,,55,73,27,45,19,0,0,74,450,70,32,70,0,0,0,0,0,0,0,0,0,15,false,0,109,omolon,,"#endgame #pve, good for #barrier since you can burn through shields and get a free damage buff",Lightweight Frame*,Corkscrew Rifling,Smallbore*,Alloy Magazine,Flared Magwell*,Adaptive Munitions*,One for All*,Omolon Fluid Dynamics*,Kill Tracker,Major Spec*,Masterworked: Stability*,Skele-Ghaul*,,,,
Half-Truths,3257091166,"""6917529839613625719""",,Legendary,Sword,30th,Power,Arc,1800,,Impact,10,Titan(1828),true,false,4,15,,0,0,65,0,0,0,0,0,0,0,63,0,0,0,0,10,70,0,60,40,0,0,false,0,74,,Arc,#casual #endgame #pve,Adaptive Frame*,Enduring Blade,Jagged Edge,Tempered Edge*,Enduring Guard,Heavy Guard*,Unrelenting*,Eager Edge*,Hot Swap*,Kill Tracker,Major Spec*,Masterworked: Impact*,Sinking Feeling*,,,
Heartshadow,3664831848,"""6917529840008887616""",,Exotic,Sword,duality,Power,Void,1800,,,,Hunter(1828),true,false,5,17,,0,0,64,0,0,0,0,0,0,0,50,0,0,0,0,35,80,0,0,40,0,0,false,0,193,,"Gyrfalcon's Hauberk - , Void",#void #pve,Exhumation*,Jagged Edge*,Burst Guard*,Shot in the Dark*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,,,
Reed's Regret,1399243961,"""6917529843349158442""",,Legendary,Linear Fusion Rifle,trials,Power,Stasis,1600,,"Charge Time, Impact",1,Vault,true,false,5,16,,86,66,41,45,25,0,0,58,0,28,6,26,530,0,0,0,0,0,0,0,0,14,false,0,0,,,"#endgame #pve, #dps",Precision Frame*,Chambered Compensator*,Hammer-Forged Rifling,Accelerated Coils,Enhanced Battery*,Triple Tap*,Focused Fury*,Alacrity,One Quiet Moment,Veist Stinger*,Kill Tracker,Tier 1: Charge Time*,Boreal Char*,,,
